,id,name,region
141,JOR,Jordanie,Afrique du Nord et Moyen-Orient
142,JPN,Japon,Asie de l’Est et Pacifique
143,KAZ,Kazakhstan,Europe et Asie centrale
144,KEN,Kenya,Afrique subsaharienne
145,KGZ,République kirghize,Europe et Asie centrale
146,KHM,Cambodge,Asie de l’Est et Pacifique
147,KIR,Kiribati,Asie de l’Est et Pacifique
148,KNA,Saint-Kitts-et-Nevis,Amérique latine et Caraïbes
149,KOR,"Corée, République de",Asie de l’Est et Pacifique
150,KWT,Koweït,Afrique du Nord et Moyen-Orient
151,LAC,Amérique latine et Caraïbes (hors revenu élevé),Agrégats
152,LAO,République démocratique populaire lao,Asie de l’Est et Pacifique
153,LBN,Liban,Afrique du Nord et Moyen-Orient
154,LBR,Libéria,Afrique subsaharienne
155,LBY,Libye,Afrique du Nord et Moyen-Orient
156,LCA,Sainte-Lucie,Amérique latine et Caraïbes
157,LCN,Amérique latine et Caraïbes,Agrégats
158,LDC,Pays les moins avancés: classement de l’ONU,Agrégats
159,LIC,Faible revenu,Agrégats
160,LIE,Liechtenstein,Europe et Asie centrale
161,LKA,Sri Lanka,Asie du Sud
162,LMC,"Revenu intermédiaire, tranche inférieure",Agrégats
163,LMY,Revenu faible et intermédiaire,Agrégats
164,LSO,Lesotho,Afrique subsaharienne
165,LTE,de dividende tardif démographique,Agrégats
166,LTU,Lituanie,Europe et Asie centrale
167,LUX,Luxembourg,Europe et Asie centrale
168,LVA,Lettonie,Europe et Asie centrale
169,MAC,"Région administrative spéciale de Macao, Chine",Asie de l’Est et Pacifique
170,MAF,Saint-Martin (fr),Amérique latine et Caraïbes
171,MAR,Maroc,Afrique du Nord et Moyen-Orient
172,MCO,Monaco,Europe et Asie centrale
173,MDA,Moldova,Europe et Asie centrale
174,MDE,,Agrégats
175,MDG,Madagascar,Afrique subsaharienne
176,MDV,Maldives,Asie du Sud
177,MEA,Afrique du Nord et Moyen-Orient,Agrégats
