,Country,"Ratio de la population pauvre disposant de moins de $ 1,90 par jour (2011 PPA) (% de la population)","Espérance de vie à la naissance, total (années)","Population, total",Croissance de la population (% annuel),Migration nette,Indice du capital humain (échelle comprise entre 0 et 1),PIB ($ US courants)current US$constant US$current LCUconstant LCU,PIB par habitant ($ US courants)current US$constant US$current LCUconstant LCU,Croissance du PIB (% annuel),"Chômage, total (% de la population) (estimation modélisée OIT)","Inflation, prix à la consommation (% annuel)","Envois de fonds des travailleurs et rémunérations des salariés, reçus (% du PIB)",Émissions de CO2 (tonnes métriques par habitant),Surface forestière (% du territoire),Accès à l’électricité (% de la population),"Retraits annuels d’eau douce, total (% des ressources internes)","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (% du total)",People using safely managed sanitation services (% of population),Homicides intentionnels (pour 100 000 personnes),"Dette du gouvernement central, total (% du PIB)",Statistical performance indicators (SPI): Overall score (scale 0-100),Utilisateurs d Internet (% de la population),Proportion de sièges occupés par des femmes dans les parlements nationaux (%),"Investissements étrangers directs, entrées nettes (% du PIB)"
17,belize,No data available,70,405 272,"1,3",577,No data available,"2,82","6 968,4","12,1","9,7","3,2","5,0","1,7","56,0","97,7",1,No data available,No data available,31,"61,0","58,8",62,13,"4,7"
18,benin,"19,9",60,13 352 864,"2,7",1 732,"0,4","17,4","1 303,2","6,3","1,7","1,4","1,2","0,6","27,8","42,0",1,"1,5",No data available,1,No data available,"48,0",34,7,"2,0"
19,bermudes,No data available,79,63 532,"-0,4",291,No data available,"7,55","118 845,6","2,9",No data available,No data available,"15,9",No data available,"18,5","100,0",No data available,No data available,No data available,11,No data available,No data available,98,No data available,"0,7"
20,bolivie,"2,0",64,12 224 110,"1,2",-4 666,No data available,"43,07","3 523,3","3,1","4,4","1,7","3,4","1,5","46,9","98,6",1,"2,5",53,3,"68,3","62,7",66,46,"-0,1"
21,bosnie,"0,1",75,3 233 526,"-1,2",-25 865,"0,6","24,53","7 585,4","3,9","14,1","14,0","10,1","6,3","42,7","100,0",1,"0,0",40,1,"47,0","61,2",76,17,"2,6"
22,botswana,"15,4",61,2 630 296,"1,6",1 816,"0,4","20,35","7 737,7","5,8","20,7","11,7","0,3","2,3","26,9","73,7",9,"0,0",No data available,11,"19,6","57,3",74,11,"0,3"
23,bresil,"5,8",73,215 313 498,"0,5",20 376,"0,6","1,92","8 917,7","2,9","9,5","9,3","0,3","1,9","59,4","99,5",1,"12,1",49,22,"86,1","76,8",81,18,"4,8"
24,brunei,No data available,75,449 002,"0,8",-192,"0,6","16,68","37 152,5","-1,6","7,2","3,7","0,0","21,7","72,1","100,0",1,"0,0",No data available,0,No data available,No data available,98,9,"1,5"
25,bulgarie,"0,2",72,6 465 097,"-6,2",-8 716,"0,6","89,04","13 772,5","3,4","4,4","15,3","2,3","4,9","35,9","99,8",24,"6,4",72,1,"32,8","82,3",75,24,"3,6"
26,burkina,"30,5",59,22 673 762,"2,6",-13 097,"0,4","18,88","832,9","1,5","5,2","14,3","3,1","0,3","22,7","19,0",7,No data available,No data available,1,"55,5","53,6",22,17,"-0,4"
27,burundi,"65,1",62,12 889 576,"2,7",-14 415,"0,4","3,07","238,4","1,8","1,0","18,8","1,6","0,1","10,9","10,2",3,No data available,No data available,6,No data available,"50,9",6,38,"0,3"
28,cabo,"4,6",74,593 149,"0,9",-1 274,No data available,"2,31","3 902,6","17,7","13,6","1,9","13,5","1,1","11,3","95,5",8,No data available,No data available,6,No data available,"54,7",70,39,"5,5"
29,cambodge,No data available,70,16 767 842,"1,1",-24 262,"0,5","29,96","1 786,6","5,2","0,4","5,3","8,7","1,1","45,7","82,5",2,"0,9",No data available,2,No data available,"56,2",60,21,"11,9"
30,chili,"0,7",79,19 603 733,"0,6",113 709,"0,7","301,03","15 355,5","2,4","7,8","11,6","0,0","4,4","24,5","100,0",4,"11,9",79,4,"13,1","82,4",90,35,"6,9"
31,cisjordanie,"0,5",73,5 043 612,"2,4",-12 369,"0,6","19,11","3 789,3","3,9","25,7","1,2","21,2",No data available,"1,7","100,0",43,No data available,67,1,No data available,"70,4",75,No data available,"1,2"
32,colombie,"6,6",73,51 874 024,"0,7",211 978,"0,6","343,94","6 630,3","7,5","10,7","10,2","2,7","1,6","53,3","100,0",1,"3,3",18,27,"79,8","73,8",73,29,"5,0"
33,comores,"18,6",63,836 774,"1,8",-1 772,"0,4","1,24","1 484,9","2,4","8,8","-4,3","20,1","0,4","17,7","87,9",1,No data available,No data available,No data available,No data available,No data available,27,17,"0,3"
34,coree,"0,2",84,51 628 117,"-0,2",43 440,"0,8","1,67","32 254,6","2,6","2,8","5,1","0,5","11,0","64,4","100,0",45,"1,5",100,1,"49,2","88,3",98,19,"1,1"
35,costa,"1,2",77,5 180 829,"0,5",2 084,"0,6","68,38","13 198,8","4,3","11,5","8,3","0,9","1,4","59,4","100,0",3,"24,4",30,11,"39,3","79,8",83,47,"5,2"
36,cote,"11,4",59,28 160 542,"2,5",-21 000,"0,4","70,02","2 486,4","6,7","2,6","5,3","0,5","0,4","8,9","71,1",2,"1,2",No data available,No data available,No data available,"56,1",45,14,"1,9"
37,croatie,"0,3",76,3 854 000,"-0,6",-10 402,"0,7","70,96","18 413,2","6,3","6,7","10,8","7,6","3,9","34,7","100,0",2,"10,0",68,1,"688,0","68,4",81,32,"5,2"
38,curacao,No data available,78,149 996,"-1,6",502,No data available,"2,7","17 717,6","4,2",No data available,"2,6","5,2",No data available,"0,2","100,0",No data available,No data available,No data available,17,No data available,No data available,68,No data available,"5,4"
39,danemark,"0,2",81,5 903 037,"0,8",22 746,"0,8","395,4","66 983,1","3,8","4,2","7,7","0,3","4,7","15,7","100,0",16,"65,4",92,1,No data available,"86,1",99,44,"7,1"
40,dominique,No data available,73,72 737,"0,4",57,"0,5",612 048 148,"8 414,5","5,9",No data available,"-0,7","8,5","2,3","63,8","100,0",10,No data available,No data available,14,No data available,No data available,81,34,"6,1"
41,egypte,"1,5",70,110 990 103,"1,6",-32 370,"0,5","476,75","4 295,4","6,6","7,0","13,9","6,8","2,0","0,0","100,0",7 750,"0,9",67,1,"85,8","74,1",72,28,"1,2"
42,el,"3,6",71,6 336 392,"0,4",-27 343,"0,5","32,49","5 127,3","2,6","3,8","7,2","23,7","1,0","28,2","97,9",2,"35,2",No data available,18,"65,5","68,8",63,27,"0,0"
43,equateur,"3,6",74,18 001 000,"1,1",35 894,"0,6","115,05","6 391,3","2,9","4,0","3,5","4,1","2,0","50,3","100,0",2,"2,1",42,14,No data available,"73,0",76,39,"0,7"
