id,name,region
LAO,République démocratique populaire lao,Asie de l’Est et Pacifique
LBN,Liban,Afrique du Nord et Moyen-Orient
LBR,Libéria,Afrique subsaharienne
LBY,Libye,Afrique du Nord et Moyen-Orient
LCA,Sainte-Lucie,Amérique latine et Caraïbes
LCN,Amérique latine et Caraïbes,Agrégats
LDC,Pays les moins avancés: classement de l’ONU,Agrégats
LIC,Faible revenu,Agrégats
LIE,Liechtenstein,Europe et Asie centrale
LKA,Sri Lanka,Asie du Sud
LMC,"Revenu intermédiaire, tranche inférieure",Agrégats
LMY,Revenu faible et intermédiaire,Agrégats
LSO,Lesotho,Afrique subsaharienne
LTE,de dividende tardif démographique,Agrégats
LTU,Lituanie,Europe et Asie centrale
LUX,Luxembourg,Europe et Asie centrale
LVA,Lettonie,Europe et Asie centrale
MAC,"Région administrative spéciale de Macao, Chine",Asie de l’Est et Pacifique
MAF,Saint-Martin (fr),Amérique latine et Caraïbes
MAR,Maroc,Afrique du Nord et Moyen-Orient
MCO,Monaco,Europe et Asie centrale
MDA,Moldova,Europe et Asie centrale
MDE,,Agrégats
MDG,Madagascar,Afrique subsaharienne
MDV,Maldives,Asie du Sud
MEA,Afrique du Nord et Moyen-Orient,Agrégats
MEX,Mexique,Amérique latine et Caraïbes
MHL,Îles Marshall,Asie de l’Est et Pacifique
MIC,Revenu intermédiaire,Agrégats
MKD,Macédoine du Nord,Europe et Asie centrale
MLI,Mali,Afrique subsaharienne
MLT,Malte,Afrique du Nord et Moyen-Orient
MMR,Myanmar,Asie de l’Est et Pacifique
MNA,Afrique du Nord et Moyen-Orient (hors revenu élevé),Agrégats
MNE,Monténégro,Europe et Asie centrale
MNG,Mongolie,Asie de l’Est et Pacifique
MNP,Mariannes,Asie de l’Est et Pacifique
MOZ,Mozambique,Afrique subsaharienne
MRT,Mauritanie,Afrique subsaharienne
MUS,Maurice,Afrique subsaharienne
MWI,Malawi,Afrique subsaharienne
MYS,Malaisie,Asie de l’Est et Pacifique
NAC,Amérique du Nord,Agrégats
NAF,,Agrégats
NAM,Namibie,Afrique subsaharienne
NCL,Nouvelle-Calédonie,Asie de l’Est et Pacifique
NER,Niger,Afrique subsaharienne
NGA,Nigéria,Afrique subsaharienne
NIC,Nicaragua,Amérique latine et Caraïbes
NLD,Pays-Bas,Europe et Asie centrale
NOR,Norvège,Europe et Asie centrale
NPL,Népal,Asie du Sud
NRS,,Agrégats
NRU,Nauru,Asie de l’Est et Pacifique
NXS,,Agrégats
NZL,Nouvelle-Zélande,Asie de l’Est et Pacifique
OED,Pays membres de l'OCDE,Agrégats
OMN,Oman,Afrique du Nord et Moyen-Orient
OSS,Autres petits états,Agrégats
PAK,Pakistan,Asie du Sud
PAN,Panama,Amérique latine et Caraïbes
PER,Pérou,Amérique latine et Caraïbes
PHL,Philippines,Asie de l’Est et Pacifique
PLW,Palaos,Asie de l’Est et Pacifique
PNG,Papouasie-Nouvelle-Guinée,Asie de l’Est et Pacifique
POL,Pologne,Europe et Asie centrale
PRE,de Pré-dividende démographique,Agrégats
PRI,Porto Rico,Amérique latine et Caraïbes
PRK,"Corée, République démocratique de",Asie de l’Est et Pacifique
PRT,Portugal,Europe et Asie centrale
PRY,Paraguay,Amérique latine et Caraïbes
PSE,Cisjordanie et Gaza,Afrique du Nord et Moyen-Orient
PSS,Petits états insulaires du Pacifique,Agrégats
PST,de Post-dividende démographique,Agrégats
PYF,Polynésie française,Asie de l’Est et Pacifique
QAT,Qatar,Afrique du Nord et Moyen-Orient
ROU,Roumanie,Europe et Asie centrale
RRS,,Agrégats
RUS,Fédération de Russie,Europe et Asie centrale
